volume,num,open,close,low,high,money,label
12.22997836,118,8151.81,8155.14,8150.26,8157.58,99719.00718,8156.46
8.4871,86,8154.09,8152.63,8150.84,8154.86,69190.04903,8155.14
6.939,43,8153.27,8154.05,8152.51,8155.69,56580.09504,8152.63
10.92757214,82,8155.34,8152.87,8152.46,8155.69,89104.61276,8154.05
15.7503,52,8156,8155,8155,8156,128449.798,8152.87
11.53302737,114,8158.33,8156.59,8155.68,8158.88,94072.90063,8155
5.637425631,42,8158.57,8158.07,8158.07,8159.07,45993.75263,8156.59
5.622562568,49,8158.97,8158.26,8158.15,8159.88,45874.75486,8158.07
10.15834166,95,8160.99,8159.79,8157.6,8161.55,82889.85783,8158.26
6.9436,42,8161.27,8160.99,8160.79,8162.02,56668.92091,8159.79
7.5081,64,8166.01,8161.57,8161.46,8166.01,61288.53087,8160.99
6.222982943,69,8166.34,8164.45,8164.45,8167.32,50819.88242,8161.57
8.19060845,56,8164.87,8166.5,8164.45,8166.5,66882.53717,8164.45
4.3651,66,8166,8165.22,8164.36,8166,35641.74955,8166.5
10.42951075,83,8167.46,8166,8165.02,8168.98,85167.4275,8165.22
10.59087274,80,8166.92,8166.82,8164.14,8169.02,86491.58341,8166
8.737502911,125,8166.66,8168.2,8164.14,8170.16,71353.5118,8166.82
4.715994789,89,8166.28,8167.09,8165.9,8170.76,38520.65337,8168.2
35.1951,70,8167.11,8166.28,8164.65,8167.11,287420.5826,8167.09
7.299995108,73,8163.24,8167.11,8162.97,8167.11,59596.52405,8166.28
3.3771,47,8163.53,8163.24,8162.72,8163.54,27568.13173,8167.11
0.9916,47,8161.99,8163.53,8161.6,8163.91,8094.377029,8163.24
10.11094544,99,8159.98,8162,8159.98,8162,82508.28826,8163.53
2.8728,70,8161.12,8159.99,8157.77,8161.93,23442.7164,8162
5.8222,90,8166.72,8161.52,8161.11,8166.72,47538.2653,8159.99
1.97442967,77,8169.13,8166.72,8165.91,8169.13,16124.79306,8161.52
2.165942694,92,8170.91,8170.18,8168.46,8170.99,17696.20647,8166.72
2.265636793,67,8170.91,8170.99,8170.91,8171,18512.40105,8170.18
3.544627793,58,8170.97,8171,8170.91,8171.72,28963.21348,8170.99
2.640079879,55,8169.59,8170.97,8167.98,8171.82,21571.79763,8171
2.551459709,89,8170.14,8167.62,8167.62,8170.14,20842.24378,8170.97
3.028336431,97,8170.14,8169.72,8168.28,8170.95,24741.59532,8167.62
0.381484433,34,8171.53,8170.15,8170.15,8171.77,3117.024993,8169.72
3.62540271,76,8173.65,8171.77,8170.96,8174.65,29629.85931,8170.15
3.431802112,103,8173.94,8172.84,8171.67,8175.76,28050.74135,8171.77
3.219230184,102,8174.94,8173.94,8173.33,8175.76,26317.33294,8172.84
1.85478383,61,8172.37,8175.05,8171.97,8175.77,15162.26968,8173.94
1.9251,79,8171.54,8172.12,8171.24,8174.19,15733.00821,8175.05
1.5462,55,8172.38,8171.54,8170.71,8173.19,12634.78907,8172.12
5.2271,88,8174.85,8170.76,8170.76,8175.61,42725.4372,8171.54
1.4983,62,8176.6,8174.85,8173.99,8176.6,12247.83278,8170.76
